Date,Asterionellopsis glacialis,Chaetoceros atlanticus,Chaetoceros compressus,Chaetoceros convolutus,Climacodium sp.,Corethron criophilum,Cylindrotheca closterium,Dactyliosolen fragilissimus,Ditylum brightwellii,Eucampia zodiacus,Haslea wrarikae,Guinardia delicatula,Odontella longicruris,Pseudo-nitszchia cf. australis,Pseudo-nitszchia cf. delicatula,Skeletonema costatum,Stephanopixis turris,Thalassionema nitszchioides,Thalassiossira rotula,Thalassiossira nordenskioeldii,Thalassiossira small,Alexandrium spp.,Amylax triacantha,Ceratium fusus,Ceratium lineatum,Dinophysis acuminata,Gonyaulax spinifera,Gymnodinium simplex,Gymnodinium sp.,Gyrodinium estuariale,Gyrodinium sp.,Noctiluca scintillans,Oxytoxum oxytoxoides,Protoceratium reticulatum,Protoperidinium bipes,Protoperidinium steinii,Protoperidinium spp.,Protoperidinium spp. Photosynthetic,Scrippsiella trochoidea
11/04/2002,0,0,48748.5,0,0,0,6358.5,0,0,0,0,0,0,0,31792.5,120811.5,0,2119.5,0,601938,0,0,0,0,0,0,0,0,0,4239,0,0,0,0,0,0,0,0,0
09/05/2002,0,0,0,0,0,0,8478,82660.5,0,0,0,0,0,0,252220.5,12717,0,0,0,4239,0,0,0,0,0,0,0,0,6358.5,14836.5,0,0,4239,0,0,0,0,0,0
05/06/2002,0,0,0,0,0,0,125050.5,6358.5,0,0,38151,0,0,0,1002523.5,120811.5,0,0,0,89019,21195,0,0,0,0,0,0,6358.5,0,0,10597.5,0,0,0,0,2119.5,0,0,6358.5
10/07/2002,0,0,0,0,0,0,0,6358.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2119.5,0,52987.5,0,0,0,0,0,0,0,0,0,0,25434
07/08/2002,0,0,0,0,0,0,0,0,2119.5,0,0,0,0,0,4239,0,0,0,0,0,2119.5,0,0,0,0,0,0,0,0,6358.5,0,0,0,0,0,0,0,0,0
29/08/2002,4239,0,0,116572.5,8478,0,6358.5,0,4239,0,0,0,2119.5,0,8478,0,0,0,0,14836.5,0,4239,0,0,0,0,0,0,4239,0,0,0,0,0,0,0,0,0,0
08/10/2002,0,0,0,3391.2,0,0,1695.6,0,0,0,0,0,0,0,847.8,0,0,0,0,1695.6,0,847.8,0,0,0,0,0,847.8,0,0,3391.2,0,0,0,0,0,0,0,0
05/11/2002,0,0,0,27977.4,0,0,1695.6,0,0,0,0,0,0,847.8,847.8,16956,0,0,0,847.8,847.8,0,0,0,0,0,0,0,3391.2,2543.4,3391.2,0,0,0,0,0,0,0,0
04/12/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.8,0,0,0,0,0,0,0,0,0,847.8,0,847.8,0,0,0,0,0,0,0,0,0
05/02/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086.8,0,0,0,0,0,1695.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
